"uzemi_txt","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","pocet_bodovanych_ridicu","celkovy_pocet_ridicu","pohlavi_txt","uzemi_typ","stav_k_datu"
"Hlavní město Praha",1964,12496,2186,14084,748,5519,1368,1356,301,679,341,3614,44656,919773,"celkem","kraj","2025_06"
"Blatná",10,135,24,94,3,59,14,8,1,7,1,54,410,10514,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"České Budějovice",300,2638,294,1898,92,804,173,182,51,78,47,481,7038,113711,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Český Krumlov",37,437,113,336,17,165,41,28,11,14,14,218,1431,27279,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Dačice",22,123,34,147,9,69,28,8,5,3,1,56,505,12703,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Jindřichův Hradec",95,780,94,397,33,210,63,29,14,16,12,227,1970,33039,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Kaplice",28,139,65,176,10,93,31,10,6,11,5,116,690,13102,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Milevsko",23,210,31,186,8,57,19,10,1,7,5,53,610,12689,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Písek",85,755,110,536,33,242,52,50,17,23,16,157,2076,35784,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Prachatice",45,363,77,300,14,140,46,22,10,15,17,157,1206,23001,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Soběslav",35,293,33,205,10,109,26,21,10,9,5,65,821,15035,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Strakonice",69,466,104,337,26,144,37,31,7,15,14,148,1398,30666,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Tábor",58,1016,134,868,26,281,102,68,18,46,20,219,2856,54581,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Trhové Sviny",23,264,39,183,8,77,24,12,4,10,1,86,731,13418,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Třeboň",39,432,73,298,22,119,27,26,12,15,11,98,1172,16988,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Týn nad Vltavou",11,251,28,162,7,54,11,14,1,8,4,72,623,9626,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Vimperk",29,155,30,176,11,83,32,15,4,7,6,71,619,11918,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Vodňany",18,139,26,102,5,59,12,13,3,10,3,38,428,8069,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Jihočeský kraj",927,8596,1309,6401,334,2765,738,547,175,294,182,2316,24584,442123,"celkem","kraj","2025_06"
"Blansko",64,494,94,431,13,165,56,36,14,19,18,116,1520,36734,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Boskovice",52,605,91,470,27,213,53,54,10,18,10,132,1735,33963,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Brno",629,3821,627,4198,183,1683,423,392,90,194,98,1098,13436,239069,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Břeclav",67,873,140,1337,36,348,84,86,14,35,17,172,3209,39414,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Bučovice",20,188,31,195,11,63,18,21,4,13,4,39,607,10682,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Hodonín",50,693,100,570,30,251,71,60,12,27,14,199,2077,39637,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Hustopeče",29,519,57,645,22,173,45,52,10,27,8,113,1700,24216,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Ivančice",17,182,40,208,7,90,29,22,6,10,10,78,699,16288,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Kuřim",32,204,43,205,9,59,19,17,4,12,8,62,674,15101,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Kyjov",46,537,77,509,22,254,49,29,10,30,15,135,1713,36718,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Mikulov",16,305,53,314,11,98,35,26,6,14,6,82,966,13146,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Moravský Krumlov",29,224,42,171,14,66,36,19,6,7,5,70,689,15301,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Pohořelice",20,292,31,305,9,92,19,21,6,10,8,55,868,9680,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Rosice",41,493,63,574,17,306,32,49,7,23,7,113,1725,17365,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Slavkov u Brna",26,238,52,263,8,105,24,23,3,9,4,59,814,15958,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Šlapanice",123,984,133,1053,45,456,56,82,12,44,4,136,3128,46560,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Tišnov",30,314,67,244,6,79,30,24,4,8,4,61,871,21209,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Veselí nad Moravou",50,424,65,336,20,180,53,39,12,14,8,106,1307,24950,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Vyškov",61,924,95,891,34,261,70,74,16,32,13,134,2605,34151,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Znojmo",90,1114,209,848,42,363,96,76,18,40,33,270,3199,60974,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Židlochovice",56,571,66,491,16,313,39,31,7,22,10,83,1705,21260,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Jihomoravský kraj",1548,13999,2176,14258,582,5618,1337,1233,271,608,304,3313,45247,772376,"celkem","kraj","2025_06"
"Aš",8,173,33,129,3,72,29,16,3,10,6,107,589,10442,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Cheb",66,709,114,488,27,247,67,49,5,32,36,244,2084,31599,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Karlovy Vary",119,1111,181,1099,70,418,96,115,17,61,26,418,3731,57219,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Kraslice",17,220,31,125,11,59,15,6,4,5,7,93,593,7776,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Mariánské Lázně",24,261,58,242,8,100,43,23,5,11,14,119,908,15591,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Ostrov",35,365,73,297,15,124,26,39,2,11,13,121,1121,17575,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Sokolov",77,992,145,882,39,278,95,103,19,45,32,553,3260,46656,"celkem","správní obvod obce s rozšířenou působností","2025_06"
"Karlovarský kraj",346,3831,635,3262,173,1298,371,351,55,175,134,1655,12286,186858,"celkem","kraj","2025_06"
"Bystřice nad Pernštejnem",16,213,27,123,3,94,31,7,5,5,3,34,561,13442,"celkem","správní obvod obce s rozšířenou působností","2025_06"
